ID_Colaborador,Nome,Data_Nascimento,Genero,ID_Cargo,Data_Admissao,Data_Desligamento,Status,Salario_Base
1,Brenda Alves,1979-05-02,Masculino,1,2022-04-02,,Ativo,11769.38
2,Henry Gabriel Carvalho,1967-08-05,Masculino,4,2023-10-01,,Ativo,4244.22
3,Ísis Borges,2000-10-19,Feminino,11,2022-02-24,,Ativo,11758.35
4,Ana Beatriz Alves,1966-12-29,Masculino,10,2021-12-23,,Ativo,7774.02
5,Igor Montenegro,2001-08-02,Masculino,2,2021-05-03,,Ativo,5232.97
6,Gael Henrique Silva,2004-11-03,Outro,9,2021-04-19,,Ativo,4985.47
7,Dra. Mariah Câmara,1991-03-10,Feminino,8,2025-09-15,2026-02-04,Desligado,9865.82
8,Lara Abreu,1971-06-26,Feminino,13,2021-01-27,,Ativo,12572.74
9,Sra. Manuela da Mota,1971-03-14,Masculino,6,2025-09-28,,Ativo,5973.39
10,Lucca Caldeira,1966-12-06,Feminino,13,2023-06-01,,Ativo,6707.43
11,Aylla Fogaça,1984-01-10,Feminino,7,2022-01-15,,Ativo,3708.95
12,Julia Aparecida,1991-11-19,Feminino,10,2024-11-09,,Ativo,5806.51
13,Camila Garcia,1965-12-24,Masculino,12,2021-06-27,,Ativo,8242.81
14,Laís Pires,2002-09-16,Masculino,7,2022-05-27,,Ativo,3485.0
15,Sr. Bernardo Aparecida,2005-08-13,Feminino,11,2024-04-15,,Ativo,10231.5
16,João Vitor Barros,1976-06-17,Feminino,10,2025-01-21,,Ativo,4903.61
17,Mateus da Mota,1991-06-22,Masculino,1,2021-10-12,,Ativo,10765.79
18,Maria Clara Castro,1985-10-22,Masculino,4,2024-03-31,2024-07-20,Desligado,13331.05
19,Sr. João Felipe Sampaio,2007-02-18,Feminino,5,2025-04-06,,Ativo,8167.63
20,Ana Sophia Pereira,2003-10-30,Feminino,3,2025-02-03,,Ativo,7127.26
21,Vitor Siqueira,1977-04-11,Masculino,11,2023-05-09,,Ativo,5837.22
22,Ravi Garcia,1978-12-27,Masculino,10,2021-10-20,,Ativo,10437.23
23,Hellena Rodrigues,1982-09-08,Masculino,3,2023-09-30,,Ativo,8278.25
24,Ian Andrade,1982-01-31,Masculino,11,2024-01-11,,Ativo,11102.02
25,Juliana Azevedo,1974-12-23,Feminino,11,2023-06-19,,Ativo,6553.53
26,Luara Cunha,2005-03-22,Masculino,1,2021-08-18,2022-12-30,Desligado,12563.07
27,Maria Laura Ramos,1991-11-04,Masculino,2,2025-07-02,2025-12-16,Desligado,5137.29
28,João Carvalho,1977-05-26,Masculino,4,2024-07-12,,Ativo,10692.98
29,Dra. Zoe da Luz,2000-05-25,Feminino,11,2025-06-09,,Ativo,8235.65
30,Maria Liz Fonseca,1975-07-18,Feminino,3,2023-12-21,,Ativo,5582.84
31,Thomas Monteiro,1966-10-21,Feminino,12,2023-12-13,,Ativo,9807.32
32,Daniel Cassiano,2003-04-26,Feminino,4,2025-06-24,2026-01-25,Desligado,14966.57
33,Otávio Peixoto,1964-12-09,Masculino,9,2022-07-21,,Ativo,8668.95
34,Maria Helena Peixoto,1992-06-20,Masculino,2,2021-07-12,,Ativo,4410.52
35,Isis Novaes,1961-05-26,Outro,13,2022-10-18,,Ativo,11006.02
36,Bruna Rodrigues,1997-02-27,Feminino,7,2021-09-18,,Ativo,7270.24
37,Luigi Camargo,1980-08-03,Masculino,9,2026-04-02,,Ativo,5642.68
38,Eduarda Marques,1960-11-02,Masculino,11,2021-02-17,,Ativo,11509.02
39,Dra. Julia Montenegro,1972-10-10,Feminino,13,2023-12-29,,Ativo,10512.02
40,Bianca Pires,1980-12-04,Feminino,5,2022-04-02,,Ativo,7934.57
41,Sofia Pereira,1974-02-25,Masculino,12,2026-02-02,2026-03-04,Desligado,13448.16
42,Marcelo Teixeira,1971-08-12,Feminino,9,2023-12-15,,Ativo,12024.53
43,Vitória Abreu,2001-05-17,Feminino,11,2022-03-12,,Ativo,6230.56
